Tech_ID,Depot_Assigned,Years of Exp,SkillSet,Rate per hour
T101,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T102,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",4,Equipment installation,Rs.500
T103,"8M77+322, Nazarbad, Mysuru, Karnataka 570010, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T104,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",1,Equipment installation,Rs.500
T105,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",1,Equipment installation,Rs.500
T106,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T107,"P79G+CCC, Ijoor, Ramanagara, Karnataka 562159, India",1,Equipment installation,Rs.500
T108,"X9J3+XMP, SH 6, Savanur Rural, Karnataka 581118, India",1,Equipment installation,Rs.500
T109,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",1,Equipment installation,Rs.500
T110,"X9J3+XMP, SH 6, Savanur Rural, Karnataka 581118, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T111,"Q9QX+W4Q, PB Rd, Vidya Nagar, Haveri, Karnataka 581110, India",3,Equipment installation,Rs.500
T112,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",1,Equipment installation,Rs.500
T113,"Mini Vidhana Soudha, Kolar Road Near, SH 99, Srinivaspur, Karnataka 563135, India",4,Equipment installation,Rs.500
T114,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",2,Equipment installation,Rs.500
T115,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",3,Equipment installation,Rs.500
T116,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T117,"Block 3, Electronics City Phase 1, Electronic City, B-103, 2nd Cross Road, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560131",5,"Equipment Installation, Low Voltage Repair",Rs.750
T118,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T119,"F234+6PQ, Railway Station Rd, UB Hills, Malmaddi, Dharwad, Karnataka 580001, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T120,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585584",6,"Equipment Installation, Low Voltage Repair",Rs.750
T121,"MFHV+PJF, kakol Road,, Byadagi, Karnataka, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T122,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",1,Equipment installation,Rs.500
T123,"Indira Nagar Rd, Indira Nagar, Chikodi, Karnataka 591201, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T124,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",4,Equipment installation,Rs.500
T125,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",1,Equipment installation,Rs.500
T126,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T127,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T128,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T129,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",2,Equipment installation,Rs.500
T130,"Public Ground, Laksmi shiva talkies road, traffic police station road, near, Old Office Road, B.T.Patil Nagar, Koppal, Karnataka 583231, India",2,Equipment installation,Rs.500
T131,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585407",4,Equipment installation,Rs.500
T132,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T133,"H93P+R8J, Kurunjibhag, Sulya, Karnataka 574327, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T134,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T135,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T136,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T137,"Yelburga, Koppal SH-129, Chikkahesarur Mundaragi Road, Koppal, Karnataka 583236, India",2,Equipment installation,Rs.500
T138,"CJMP+336, Station Rd, Basaveshwara Nagar, Gadag-Betageri, Karnataka 582101, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T139,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",4,Equipment installation,Rs.500
T140,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",4,Equipment installation,Rs.500
T141,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",1,Equipment installation,Rs.500
T142,"WMHG+X59, Bellandur Main Rd, Bellandur, Bengaluru, Karnataka 560171",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T143,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T144,"Q53V+J25, SH 30, Kushtagi, Karnataka 583277, India",4,Equipment installation,Rs.500
T145,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",4,Equipment installation,Rs.500
T146,"Mini Vidana Soundha, Ballari - Hubballi Rd, New Hubli, Hubballi, Karnataka 580020, India",4,Equipment installation,Rs.500
T147,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",1,Equipment installation,Rs.500
T148,"Public Ground, Laksmi shiva talkies road, traffic police station road, near, Old Office Road, B.T.Patil Nagar, Koppal, Karnataka 583231, India",1,Equipment installation,Rs.500
T149,"Pampa Nagar, Koppal, SH-130, Kanakagiri Gangavathi Munirabad Road, Gangavathi, Gangavathi, Karnataka 583227, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T150,"WHPG+VH4, SH 25, Basavanagudi, Shivamogga, Karnataka 577201, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T151,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",1,Equipment installation,Rs.500
T152,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585343",6,"Equipment Installation, Low Voltage Repair",Rs.750
T153,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",3,Equipment installation,Rs.500
T154,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T155,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",1,Equipment installation,Rs.500
T156,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",1,Equipment installation,Rs.500
T157,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T158,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T159,"8M77+322, Nazarbad, Mysuru, Karnataka 570010, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T160,"H955+2CQ, hubli solalapur road, Navalgund, Karnataka 582208, India",4,Equipment installation,Rs.500
T161,"VG86+HWR, NH 4A, Khade Bazar, Raviwar Peth, Belagavi, Karnataka 590001, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T162,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T163,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585102",5,"Equipment Installation, Low Voltage Repair",Rs.750
T164,"4WV8+RWV, Fort Main Rd, Narayanappa Compound, Fort, Ballari, Karnataka 583104, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T165,"JJCM+348, Station Rd, Vageesh Nagar, Ranebennur, Karnataka 581115, India",4,Equipment installation,Rs.500
T166,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T167,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",4,Equipment installation,Rs.500
T168,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585273",2,Equipment installation,Rs.500
T169,"JM35+VJP, Karatagi, Karnataka 583229, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T170,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T171,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T172,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T173,"88, Borewell Rd, Palm Meadows, Dodsworth Layout, Whitefield, Bengaluru, Karnataka 560113",1,Equipment installation,Rs.500
T174,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T175,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T176,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T177,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T178,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T179,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T180,"QQ94+Q6F, Taluk panchayat, Sindhanur, Karnataka 584128, India",4,Equipment installation,Rs.500
T181,"V2JJ+C7C, B.C Road, Bantwal, Karnataka 574219, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T182,"H955+2CQ, hubli solalapur road, Navalgund, Karnataka 582208, India",4,Equipment installation,Rs.500
T183,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T184,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T185,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",1,Equipment installation,Rs.500
T186,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T187,"HCCC+74Q, Kanakagiri, Karnataka 583283, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T188,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T189,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T190,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585233",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T191,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",3,Equipment installation,Rs.500
T192,"Pampa Nagar, Koppal, SH-130, Kanakagiri Gangavathi Munirabad Road, Gangavathi, Gangavathi, Karnataka 583227, India",1,Equipment installation,Rs.500
T193,"57HJ+MW7, Main Road, Sedam, Karnataka 585222, India",1,Equipment installation,Rs.500
T194,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585209",1,Equipment installation,Rs.500
T195,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",4,Equipment installation,Rs.500
T196,"Mini Vidana Soundha, Ballari - Hubballi Rd, New Hubli, Hubballi, Karnataka 580020, India",1,Equipment installation,Rs.500
T197,"Mini Vidana Soundha, Ballari - Hubballi Rd, New Hubli, Hubballi, Karnataka 580020, India",4,Equipment installation,Rs.500
T198,"Tarle Petrol Pump, Old Pune Bangalore Rd, Nipani, Karnataka 591237, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T199,"765X+8HP, Kundgol, Karnataka 581113, India",3,Equipment installation,Rs.500
T200,"HCCC+74Q, Kanakagiri, Karnataka 583283, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T201,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T202,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T203,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",1,Equipment installation,Rs.500
T204,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
