google Maps Location,Latitude,Longitude
"near, hanumanthappa circle, Basavanahalli, Chikkamagaluru, Karnataka 577101, India",13.325621,75.774204
"4JMR+RHP, Mudigere, Karnataka 577132, India",13.1345875,75.6414531
"CJ5C+RWG, NH-150A, Chikkanayakanahalli, Karnataka 572214, India",13.4141898,76.621836
"Pavagada, Tumkur, SH-3, Madugiri Pavagada Chikkahalli Road, Tumkur, Tumkur, Karnataka 561202, India",13.3124911,77.2391292
"M668+P83, Madhugiri, Karnataka 572132, India",13.6617625,77.2157969
"G6CR+F4X, Koratagere, Karnataka 572129, India",13.5212375,77.2403594
"84Q7+M4X, taluk walfare office, Tumakuru, Karnataka 572101, India",13.3392411,77.1128708
"8W7R+Q6G, MG Rd, Gubbi, Karnataka 572216, India",13.3155515,76.9402992
"4, National Highway 206, Vidya Nagar, Tiptur, Karnataka 572202, India",13.262551,76.4543107
"22FC+555, Kunigal, Karnataka 572130, India",13.0228875,77.0204844
"Mini Vidhana Soudha, Kolar Road Near, SH 99, Srinivaspur, Karnataka 563135, India",13.140435,78.1369344
"SH 17
 Maruthi Extension
 Malur, Karnataka 563130
 India",13.0029884,77.9381636
"Vivekanand Nagar Bangarapet, Karnataka 563114 India",12.9925024,78.178531
"X74F+4F3, Swarna Nagar, Rcky, Kolar Gold Fields, Karnataka 563122, India",12.9932,78.24647
"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",13.0063519,77.5496052
"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",12.8996676,77.4826837
"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",13.0650021,77.7384604
"3HXV+35F, NES Office Rd, Suggappa Layout, East Colony, Yelahanka New Town, Bengaluru, Karnataka 560064, India",13.0991351,77.5931299
"39XR+CM9, Jayanagara, nelamangala, Indiranagara, Karnataka 562123, India",13.0985375,77.3917344
"Krishna Rajendra Rd, Gandhi Bazaar, Basavanagudi, Bengaluru, Karnataka 560004",12.9458548,77.573783
"216, 2nd H Main Rd, East of NGEF Layout, Bennigana Halli, Bengaluru, Karnataka 560043",13.0034988,77.6623593
"88, Borewell Rd, Palm Meadows, Dodsworth Layout, Whitefield, Bengaluru, Karnataka 560066",12.9685869,77.7454387
"6PV5+C4C, Devanahalli, Karnataka 562110, India",13.2435625,77.7077656
"3QHP+3VX, Kammavari Pete, Hoskote, Karnataka 562129, India",13.0777375,77.7872344
"WMHG+X59, Bellandur Main Rd, Bellandur, Bengaluru, Karnataka 560103",12.922934,77.6729171
"Block 3, Electronics City Phase 1, Electronic City, B-103, 2nd Cross Road, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100",12.8413449,77.6645127
"MF5P+3V7, Krishnarajpete, Karnataka 571426, India",12.6576625,76.4871719
"RQM5+9MQ, Nagamangala, Karnataka 571432, India",12.8334625,76.7592344
"CMFM+Q84, Srirangapatna, Karnataka 571438, India",12.4243875,76.6833281
"GVFJ+3M5, PES College Campus, Mandya, Karnataka 571401, India",12.5226375,76.8817344
"H2MV+R37, Maddur Main Rd, Maddur, Karnataka 571428, India",12.5870409,77.0459448
"93M5+6P7, Malavalli, Karnataka 571430, India",12.3830375,77.0592969
"Sakleshpur, Hassan, NH-48, Mangalore Bangalore High, Hassan, Hassan, Karnataka 573134, India",12.9484703,75.8039795
"5VFF+5XH, Belur, Karnataka 573115, India",13.1729375,75.8749844
"233X+7WG, BM Rd, Ammeer Mohalla, Hassan, Karnataka 573201, India",13.0011653,76.098101
"XXHV+8FF, BM Rd, Alur, Karnataka 573213, India",12.9783877,75.9937081
"Q384+WGX, Arakalagud, Karnataka 573102, India",12.7673625,76.0563594
"Hassan, SH-8, Arakalagud Holenarasipura Road, Holenarasipura, Holenarasipur, Karnataka 573211, India",12.7642235,76.0665955
"W93Q+9G9, Bangalore - Mangalore Hwy, Byrapura, Channarayapattana, Karnataka 573225, India",12.9034125,76.3888594
"VR7R+R52, Old Kent Rd, Attavar, Mangaluru, Karnataka 575001, India",12.8645125,74.8403906
"V2JJ+C7C, B.C Road, Bantwal, Karnataka 574219, India",12.8810625,75.0306406
"X7QJ+XRX, Taluk Office Rd, Police Quarters, Belthangady, Karnataka 574214, India",11.04106,76.99806
"Q56X+8PP, Court Road, Puttur, Karnataka 574201, India",12.7608035,75.201361
"H93P+R8J, Kurunjibhag, Sulya, Karnataka 574327, India",12.5545875,75.3857656
"3X8V+FG2, Mudbidri, Karnataka 574227, India",13.0661375,74.9937656
"PFW7+522, Kadaba-Subrahmanya Rd, Kadaba, Karnataka 574221, India",12.7453875,75.4625156
"3QMW+QV2, SH 70, Karnad, Mulki, Karnataka 574154, India",13.0850428,74.7984613
"RW23+RR2, Naringana, Natekal, Ullala, Karnataka 574199, India",12.8020125,74.9045156
"Near, Fort Rd, Stuart Hill, Madikeri, Karnataka 571201, India",12.4201021,75.7395923
"HRWX+RQV, Somwarpet, Karnataka 571236, India",12.5971125,75.8494219
"5RX2+33F, Court Rd, Virajpet, Karnataka 571218, India",12.29975,75.75521
"877Q+8F9, Mysore - Madikeri Rd, Hunsur, Karnataka 571105, India",12.3432626,76.5786303
"C9VJ+XR5, Mysore Rd, Krishnarajanagara, Karnataka 571602, India",12.4461729,76.3835901
"8M77+322, Nazarbad, Mysuru, Karnataka 570010, India",12.3126375,76.6625156
"4MJG+8CX, Chamalapura, Karnataka 571302, India",12.1308625,76.6761094
"6W53+F5J, Byrapura,, SH84, Tirumakudalu Narasipura, Karnataka 571124, India",12.2137925,76.9012133
"295R+X54, Sargur, Karnataka 571121, India",12.0098875,76.3904531
"Chamarajanagar, NH-212, Kozhikode Kerala Highway, Gundlupete, Gundlupete, Karnataka 571111, India",11.7443029,76.4746926
"WXH2+JVW, Chamarajanagara-BR Hills Rd, Bhagirath Nagar, Chamarajnagar, Karnataka 571313, India",11.9291125,76.9522031
"322H+VWC, NH948, Yelandur, Karnataka 571441, India",12.0515026,77.0306331
"5436+792, Belakavadi - Kollegala Rd, Kollegal, Karnataka 571440, India",12.1576092,77.1112627
"834/779, SH 9, Gauribidanur, Karnataka 561208, India",13.6098526,77.5174569
"CPPH+HR4, NH234, Chikkaballapur, Karnataka 562101, India",13.54245,77.54125
"MPC4+CJJ, Gudibanda, Karnataka 561209, India",13.6710875,77.7065156
"QQMR+9V6, Bagepalli, Karnataka 561207, India",13.7834125,77.7921406
"X63F+PJR, Magadi Rural, Karnataka 562120, India",12.9543625,77.2240156
"P79G+CCC, Ijoor, Ramanagara, Karnataka 562159, India",12.7185625,77.2760156
"M624+HMR, SH17, Channapatna, Karnataka 562160, India",12.6535518,77.2007842
"GCWF+V73, Kanakapura, Karnataka 562117, India",12.5471375,77.4231719
"MFH9+723, Taluk, Harohalli, Karnataka 562112, India",12.69241,77.59126
"Q42P+HFQ, Yadgir-Bidar Rd, Yadgiri, Karnataka 585201, India",16.7630078,77.1329199
"PR3R+JF6, Jevargi - Chamarajanagar Rd, Shahapur, Karnataka 585223, India",16.6897399,76.8474401
"GPCX+JCV, Shorapur, Karnataka 585220, India",16.5216125,76.7485469
"79GP+3XF, College Rd, Hosapete, Karnataka 583201, India",15.2755125,76.3871771
"Bommaghatta Rd Kudligi, Karnataka 583135
 India",14.9035673,76.3921847
"QXVR+54F, Harapanahalli, Karnataka 583131, India",14.7929375,75.9902969
"2W9X+4HW, Huvina Hadagali, Karnataka 583219, India",15.0178625,75.9489531
